id	source_verse	text	id_range_end	source_verse_range_end
08001013	08001013	तो भी क्या तुम उनके सयाने होने तक आशा लगाए ठहरी रहतीं? क्या तुम उनके निमित्त पति करने से रुकी रहतीं? नहीं मेरी बेटियों, क्योंकि मेरा दुःख तुम्हारे दुःख से बहुत बढ़कर है; देखो, यहोवा का हाथ मेरे विरुद्ध उठा है।”		
08001014	08001014	तब वे चिल्ला चिल्लाकर फिर से रोने लगीं। तब ओर्पा ने तो अपनी सास को चूमा, परन्तु रूत उससे लिपटी रही।		
08001015	08001015	तब नाओमी ने कहा, “देख, तेरी जिठानी तो अपने लोगों और अपने देवता के पास लौट गई है; इसलिए तू अपनी जिठानी के पीछे लौट जा।”		
08001016	08001016	पर रूत बोली, “तू मुझसे यह विनती न कर, कि मुझे त्याग या छोड़कर लौट जा; क्योंकि जिधर तू जाएगी उधर मैं भी जाऊँगी; जिस जगह तू टिके वहाँ मैं भी टिकूँगी; तेरे लोग मेरे लोग हैं, और तेरा परमेश्वर मेरा परमेश्वर है।		
08001017	08001017	जहाँ तू मरेगी वहाँ मैं भी मरूँगी, और वहीं मुझे मिट्टी दी जाएगी। यहोवा मुझसे वैसा ही वरन् उससे भी अधिक करे यदि मृत्यु छोड़ और किसी कारण मैं तुझ से अलग होऊँ।”		
08001018	08001018	तब नाओमी ने देखा कि वह उसके साथ जाने के लिए दृढ़ थी, और उसने उससे कोई बात नही कही।		
08001019	08001019	तो वे दोनों चल पड़ी और बैतलहम को पहुँचीं। और ऐसा हुआ कि उनके बैतलहम में पहुँचने पर सारे नगर में उनके कारण हलचल मच गई; और स्त्रियाँ कहने लगीं, “क्या यह नाओमी है?”		
08001020	08001020	उसने उनसे कहा, “मुझे नाओमी न कहो, मुझे मारा कहो, क्योंकि सर्वशक्तिमान ने मुझ को बड़ा दुःख दिया है।		
08001021	08001021	मैं भरी पूरी चली गई थी, परन्तु यहोवा ने मुझे खाली हाथ लौटाया है। इसलिए जबकि यहोवा ही ने मेरे विरुद्ध साक्षी दी, और सर्वशक्तिमान ने मुझे दुःख दिया है, फिर तुम मुझे क्यों नाओमी कहती हो?”		
08001022	08001022	इस प्रकार नाओमी अपनी मोआबिन बहू रूत के साथ लौटी, जो मोआब देश से आई थी। और वे जौ कटने के आरम्भ में बैतलहम पहुँचीं।		
08002001	08002001	नाओमी के पति एलीमेलेक के कुल में उसका एक बड़ा धनी कुटुम्बी था, जिसका नाम बोअज था।		
08002002	08002002	और मोआबिन स्त्री रूत ने नाओमी से कहा, “कृप्या, मैं किसी खेत में जाना और सिला बीनना चाहती हूँ उसके पीछे जो मुझ पर अनुग्रह की दृष्टि करे।” उसने कहा, “जा, मेरी बेटी।”		
08002003	08002003	इसलिए वह चली गई और जाकर एक खेत में लवनेवालों के पीछे बीनने लगी। और संयोग से, वह जिस खेत में गई थी वह बोअज का था, जो एलीमेलेक का कुटुम्बी था।		
08002004	08002004	तब देखो, बोअज बैतलहम से आया! और उसने लवनेवालों से कहा, “यहोवा तुम्हारे संग रहे,” और वे उससे बोले, “यहोवा तुझे आशीष दे।”		
08002005	08002005	तब बोअज ने अपने उस सेवक से जो लवनेवालों के ऊपर ठहराया गया था पूछा, “वह किसकी कन्या है?”		
08002006	08002006	जो सेवक लवनेवालों के ऊपर ठहराया गया था उसने उत्तर दिया और कहा , “वह मोआबिन कन्या है, जो नाओमी के संग मोआब देश से लौट आई है।		
08002007	08002007	और उसने कहा था, ‘मुझे लवनेवालों के पीछे-पीछे पूलों के बीच बीनने और बालें बटोरने दे।’ तो वह आई और भोर से अब तक यहीं है। केवल थोड़ी देर तक घर में रही थी।”		
08002008	08002008	तब बोअज ने रूत से कहा, “क्या तू मेरी सुनती है, मेरी बेटी? किसी दूसरे के खेत में बीनने को न जाना, और नाहि यहाँ से जाना। परन्तु यह कर: मेरी ही दासियों के संग रहना।		
08002009	08002009	जिस खेत को वे लवती हों उसी पर तेरा ध्यान लगा रहे, और उन्हीं के पीछे-पीछे चला करना। क्या मैंने जवानों को आज्ञा नहीं दी, कि तुझे न छुएँ? और जब तुझे प्यास लगे, तू बरतनों के पास जाकर जवानों का भरा हुआ पानी पीना।”		
08002010	08002010	तब वह भूमि तक झुककर मुँह के बल गिरी, और उससे कहने लगी, “क्या कारण है कि तूने मुझ पर अनुग्रह की दृष्टि करके मेरी सुधि ली है, जबकि मैं एक परदेशिन हूँ?”		
08002011	08002011	तब बोअज ने उत्तर दिया, “जो कुछ तूने अपने पति की मृत्यु के बाद अपनी सास से किया है मुझे विस्तार के साथ बताया गया है। तू अपने माता पिता और जन्म-भूमि को छोड़कर ऐसे लोगों में आई है जिनको पहले तू न जानती थी।		
08002012	08002012	यहोवा तेरी करनी का फल दे, और इस्राएल का परमेश्वर यहोवा जिसके पंखों के तले तू शरण लेने आई है, तुझे पूरा प्रतिफल दे।”		
08002013	08002013	उसने कहा, “हे मेरे प्रभु, तेरे अनुग्रह की दृष्टि मुझ पर बनी रहे, क्योंकि यद्यपि मैं तेरी दासियों में से किसी के भी बराबर नहीं हूँ, तो भी तूने अपनी दासी के मन में पैठनेवाली बातें कहकर मुझे शान्ति दी है।”		
08002014	08002014	फिर, खाने के समय बोअज ने उससे कहा, “यहीं आकर रोटी खा, और अपना कौर सिरके में डूबा।” तो वह लवनेवालों के पास बैठ गई; और उसने उसको भुनी हुई बालें दीं। और उसने खाया और तृप्त हुई, वरन् उसने कुछ बचा भी रखा।		
08002015	08002015	फिर वह बीनने को उठी। तब बोअज ने अपने जवानों को आज्ञा दी और कहा, “उसको पूलों के बीच-बीच में भी बीनने दो, और उस पर दोष मत लगाओ।		
08002016	08002016	वरन् मुट्ठी भर जाने पर कुछ-कुछ निकालकर गिरा भी दिया करो, और उसके बीनने के लिये छोड़ दो, और उसे डाँटना मत।”		
08002017	08002017	अतः वह साँझ तक खेत में बीनती रही। तब जो कुछ वह बीन चुकी उसने उसे फटका, और वह कोई एपा भर जौ निकला।		
08002018	08002018	और वह उसे उठाकर नगर में गई, और उसकी सास ने देखा कि उसने क्या बीना है, फिर उसने तृप्त होने के बाद जो कुछ बचा था, उसे निकाल लिया और उसने उसे दे दिया।		
08002019	08002019	उसकी सास ने उससे कहा, “आज तू कहाँ बीनती, और कहाँ काम करती थी? धन्य वह हो जिसने तेरी सुधि ली है।” तब उसने अपनी सास को बता दिया, कि उसने किसके पास काम किया। और उसने कहा, “जिस पुरुष के पास मैंने आज काम किया उसका नाम बोअज है।”		
08002020	08002020	फिर नाओमी ने अपनी बहू से कहा, “वह यहोवा की ओर से आशीष पाए, क्योंकि उसने न तो जीवित पर से और न मरे हुओं पर से अपनी करुणा हटाई!” फिर नाओमी ने उससे कहा, “वह पुरुष तो हमारा एक कुटुम्बी है, वरन् उनमें से है जिनको हमारी भूमि छुड़ाने का अधिकार है।”		
08002021	08002021	फिर रूत मोआबिन बोली, “उसने मुझसे यह भी कहा, ‘जब तक मेरे सेवक मेरी सारी कटनी पूरी न कर ले तब तक उन्हीं के संग-संग लगी रह।’”		
08002022	08002022	नाओमी ने अपनी बहू रूत से कहा, “मेरी बेटी यह अच्छा भी है, कि तू उसी की दासियों के साथ जाया करे, ताकि वे तुझे किसी दूसरे खेत में हानि न पहुँचा सकें।”		
08002023	08002023	इसलिए रूत जौ और गेहूँ दोनों की कटनी के अन्त तक बीनने के लिये बोअज की दासियों के साथ-साथ लगी रही। और वह अपनी सास के यहाँ रहती थी।		
08003001	08003001	फिर उसकी सास नाओमी ने उससे कहा, “हे मेरी बेटी, क्या मैं तेरे लिये आश्रय न ढूँढ़ूँ कि तेरा भला हो?		
08003002	08003002	तो अब, क्या बोअज हमारा कुटुम्बी नहीं है, जिसकी दासियों के पास तू काम करती थी? वह तो आज रात को खलिहान में जौ फटकेगा।		
08003003	08003003	अब तू स्नान कर और तू तेल लगा, और वस्त्र पहन और खलिहान को जा। जब तक वह पुरुष खा पी न चुके तब तक अपने को उस पर प्रगट न करना।		
08003004	08003004	और यह होने दे कि जब वह लेट जाए, तुझे सही जगह का पता चल जाए जहाँ वह लेटता है; तब भीतर जा उसके पाँव उघाड़ के लेट जाना; तब वह स्वयं तुझे बताएगा कि तुझे क्या करना चाहिए।”		
08003005	08003005	और उसने उससे कहा, “जो कुछ तू कहती है वह सब मैं करूँगी।”		
08003006	08003006	तब वह खलिहान को गई और अपनी सास के कहे अनुसार ही किया।		
08003007	08003007	और बोअज खा पी चुका, और उसका मन आनन्दित था, और वह जाकर अनाज के ढेर के एक सिरे पर लेट गया। तब वह चुपचाप आई, और उसके पाँव उघाड़े और लेट गई।		
08003008	08003008	फिर ऐसा हुआ की आधी रात को कि वह पुरुष चौंका, और पलटा, और देखो एक स्त्री उसके पाँवों के पास लेटी हुई है।		
08003009	08003009	और उसने कहा, “तू कौन है?” तब वह बोली, “मैं रूत हूँ; तेरी दासी। तू अपनी दासी को अपनी चद्दर ओढ़ा दे, क्योंकि तू हमारा छुड़ानेवाला कुटुम्बी है।”		
08003010	08003010	फिर उसने कहा, “हे मेरी बेटी, यहोवा की ओर से तुझ पर आशीष हो; क्योंकि तूने अपनी पिछली वाचा के प्रति विश्वासयोग्यता पहली से अधिक दिखाई, क्योंकि तू, क्या धनी, क्या कंगाल, किसी जवान के पीछे नहीं लगी।		
08003011	08003011	इसलिए अब, हे मेरी बेटी, मत डर, जो कुछ तू कहेगी, मैं तेरे लिए करूँगा; क्योंकि मेरे फाटक के सब लोग जानते हैं कि तू योग्य स्त्री है।		
08003012	08003012	और अब, यह सच है कि मैं छुड़ानेवाला कुटुम्बी हूँ, पर एक और छुड़ानेवाला कुटुम्बी है जो मुझसे ज्यादा निकटतर है।		
08003013	08003013	आज रात यहीं ठहर जा। और जब सुबह होगी, अगर वह तुझे छुड़ाएगा, तो भला, वही तुझे छुड़ाने दे। लेकिन अगर वह तुम्हें छुड़ाना नहीं चाहता है, तो मैं तुम्हें स्वयं छुड़ाऊँगा, जैसा कि यहोवा रहता है। भोर तक लेटी रह।”		
08003014	08003014	तो वह उसके पाँवों के पास भोर तक लेटी रही, और इससे पहले कि कोई अपने मित्र को पहचान पाए वह उठ गई; और उसने कहा, “कोई यह जानने न पाए कि खलिहान में कोई स्त्री आई थी।”		
08003015	08003015	तब बोअज ने कहा, “जो चद्दर तू ओढ़े है उसे फैला और पकड़ ले।” इसलिए उसने उसे पकड़ा। तब उसने छः नपुए जौ नापकर उसको उठा दिया; फिर वह नगर में चली गई।		
08003016	08003016	तब वह अपनी सास के पास आई और उसने पूछा, “हे बेटी, कौन है?” तब उसने उसको सब बताया जो कुछ उस पुरुष ने उसके लिए किया था।		
08003017	08003017	और उसने कहा, “उसने मुझे छः नपुए जौ दिए, क्योंकि उसने कहा ‘तुझे अपनी सास के पास खाली हाथ नहीं जाना चाहिए।”’		
08003018	08003018	फिर उसने कहा, “बैठ जा, मेरी बेटी, जब तक तू न जाने कि इस बात का कैसा फल निकलेगा, क्योंकि आज जब तक वह पुरुष सब बातें निपटा नहीं लेगा तब तक चैन से नहीं बैठेगा।”		
08004001	08004001	अब बोअज फाटक के पास गया और बैठ गया; और देखो, वह छुड़ानेवाले कुटुम्बी वहाँ से गुजर रहा था, वही मनुष्य जिसके बारे में बोअज ने चर्चा की थी। और उसने कहा, “इधर आ और यहीं बैठ जा, महाशय;” तो वह उधर जाकर बैठ गया।		
08004002	08004002	तब उसने नगर के दस वृद्ध लोगों को लिया और कहा, “यहाँ बैठ जाओ।” तो वे बैठ गए।		
08004003	08004003	तब उसने छुड़ानेवाले कुटुम्बी से कहा, “नाओमी जो मोआब देश से लौट के आई है, हमारे भाई एलीमेलेक की एक टुकड़ा भूमि बेच रही है।		
08004004	08004004	अब मेरे लिए, मैंने कहा, कि मैं तेरे कानों को बेपर्दा करूं, यह कहते हुए ‘उसे खरीद ले,' यहाँ बैठे हुओं के सामने और मेरे लोगों के वृद्धों के सामने मोल ले। यदि तू उसको छुड़ाएगा, तो उसे छुड़ा ले। परन्तु यदि तू न छुड़ाए, तो मुझे बता दे, कि मैं जान लूँ; क्योंकि तुझे छोड़ उसको छुड़ानेवाला कोई नहीं है, और तेरे बाद मैं हूँ।” फिर उसने कहा, “मैं स्वयं उसे छुड़ाऊँगा।”		
08004005	08004005	फिर बोअज ने कहा, “जिस दिन तू उस भूमि को नाओमी के हाथ से मोल ले, तू रूत मोआबिन को भी जो मरे हुए की स्त्री है इस मनसा से पाएगा, कि मरे हुए का नाम उसके भाग में स्थिर कर दे।”		
08004006	08004006	फिर छुड़ानेवाले कुटुम्बी ने कहा, “ मैं उसको मेरा निज भाग बिगाड़े बिना नहीं छुड़ा सकता। इसलिए मेरा छुड़ाने का अधिकार तू ले ले, क्योंकि मैं उसे छुड़ा नहीं सकता।”		
08004007	08004007	अब, पुराने समय इस्राएल में, छुड़ाने और सामानों के आदान-प्रदान के विषय में इस प्रकार पुष्टि की जाती थी: एक मनुष्य अपनी जूती उतार के दूसरे को देता था। इस्राएल में प्रमाणित इसी रीति से होता था।		
08004008	08004008	इसलिए छुड़ानेवाले कुटुम्बी ने बोअज से कहा; “ तू अपने लिए उसे मोल ले,” और उसने अपनी जूती उतारी।		
08004009	08004009	तब बोअज ने वृद्धों और सब लोगों से कहा, “तुम आज इस बात के साक्षी हो कि मैं नाओमी के हाथ से वह सब कुछ मोल लेता हूँ, जो एलीमेलेक और वह सब जो किल्योन और महलोन का था।		
08004010	08004010	और महलोन की स्त्री रूत मोआबिन को भी मैं अपनी पत्नी करने के लिये इस मनसा से मोल लेता हूँ, कि मरे हुए का नाम उसके निज भाग पर स्थिर करूँ, ताकि मरे हुए का नाम उसके भाइयों में से और उसके स्थान के फाटक से मिट न जाए; तुम लोग आज साक्षी ठहरे हो।”		
08004011	08004011	और फाटक के पास के सब लोगों ने और वृद्धों ने कहा, “हम साक्षी हैं। यह जो स्त्री तेरे घर में आती है उसको यहोवा राहेल और लिआ के समान करे, जिन्होंने इस्राएल के घराने को बनाया। एप्राता में सम्मान पाना, और बैतलहम में तेरा बड़ा नाम हो;		
08004012	08004012	और तेरा घराना पेरेस के समान हो जाए, जो तामार से यहूदा के द्वारा उत्पन्न हुआ, उस सन्तान के द्वारा जो यहोवा इस जवान स्त्री के द्वारा तुझे दे।” (मत्ती 1:3)		
08004013	08004013	तो बोअज ने रूत को ब्याह लिया, और वह उसकी पत्नी हो गई; और वह उसके पास गया। तब तब यहोवा ने उसे गर्भधारण दिया, और उसने एक पुत्र को जन्म दिया। (मत्ती 1:4, 5)		
08004014	08004014	तब स्त्रियों ने नाओमी से कहा, “यहोवा धन्य है, जिसने तुझे आज छुड़ानेवाले कुटुम्बी के बिना नहीं छोड़ा; इस्राएल में इसका बड़ा नाम हो।		
08004015	08004015	अब यह तेरे जी में जी ले आनेवाला और तेरा बुढ़ापे में पालनेवाला होगा। क्योंकि तेरी बहू जो तुझ से प्रेम रखती है, उसने उसको जन्म दिया है - जो सात बेटों से बेहतर है।”		
08004016	08004016	और नाओमी ने उस बच्चे को लिया और अपनी गोद में रखा, और वह उसकी दाई बन गई।		
08004017	08004017	इसलिए उसकी पड़ोसिनों ने पुकार कर उसका नाम यह कहकर रखा, कि “नाओमी को एक बेटा उत्पन्न हुआ है”, और उन्होंने उसका का नाम ओबेद रखा। वह यिशै का पिता और दाऊद का दादा था। (मत्ती 1:6)		
08004018	08004018	अब पेरेस की पीढ़ियां यह हैं, अर्थात् पेरेस हेस्रोन का पिता था,		
08004019	08004019	और हेस्रोन राम का पिता था, और राम अम्मीनादाब का पिता था,		
08004020	08004020	और अम्मीनादाब नहशोन का पिता था, और नहशोन सलमोन का पिता था,		
08004021	08004021	और सलमोन बोअज का पिता था, और बोअज ओबेद का पिता था,		
08004022	08004022	और ओबेद यिशै का पिता था, और यिशै दाऊद का पिता था। (मत्ती 1:4-6, लूका 3:31, 32)		
15001001	15001001	अब कुस्रू के पहले वर्ष में, फारस का राजा, ताकि यिर्मयाह के मुँह से यहोवा का वचन पूरा हो, यहोवा ने फारस के राजा, कुस्रू, की आत्मा को उभारा। इसलिए उसने अपने सारे राज्य में एक घोषणा करवाई, और लिखित में भी, यह कहते हुए:		
15001002	15001002	“फारस का राजा कुस्रू यह कहता है: यहोवा, स्वर्ग के परमेश्वर, ने मुझे पृथ्वी के सभी राज्य दिए हैं, और उसी ने मुझे उसके लिए यरूशलेम में एक घर बनाने के लिए नियुक्‍त किया है, जो यहूदा में है।		
15001003	15001003	तुम में से कौन उसके सब लोगों में से है? उसका परमेश्वर उसके साथ रहे, और वह यरूशलेम को जाए, जो यहूदा में है, और वह यहोवा का घर बनाए, इस्राएल का परमेश्वर। वह ऐसा परमेश्वर है जो यरूशलेम में है।		
15001004	15001004	और हर एक जो उन सब स्थानों में बचा हुआ, जहाँ वह अस्थाई निवास में रहता है, उस स्थान के लोग उस जन की सहायता चाँदी और सोने और सामान, और पशु से करें, और परमेश्वर का घर जो यरूशलेम में है उसके लिए स्वेच्छा भेंट।”		
15001005	15001005	तब यहूदा और बिन्यामीन के पितरों के मुखिया, और याजकों, और लेवियों, यहाँ तक कि वे सभी जिनकी आत्मा को परमेश्वर ने उभारा था, यहोवा का घर बनाने के लिए ऊपर जाने को उठ खड़े हुए, जो यरूशलेम में है।		
15001006	15001006	और उनके चारों ओर के सब लोगों ने चाँदी के पात्रों से उनके हाथों को दृढ़ किया, सोने के साथ, माल के साथ, और पशुओं के साथ, और अनमोल उपहारों के साथ, उन सभी के अतिरिक्त जो मुफ्त में दी गईं थीं।		
15001007	15001007	और राजा कुस्रू यहोवा के भवन के पात्रों को बाहर ले आया जिसे नबूकदनेस्सर यरूशलेम से बाहर निकाल लाया था और उन्हें अपने देवताओं के भवन में रखा था।		
15001008	15001008	और फारस का राजा कुस्रू, उन्हें खजांची मिथ्रदात के हाथ से निकलवा कर लाया। और उसने उन्हें यहूदा के शासक शेशबस्सर को गिन कर दिया।		
15001009	15001009	और उनकी गिनती यह थी: सोने के 30 परात, चाँदी के 1000 परात, 29 चाकू,		
15001010	15001010	सोने के 30 कटोरे, हल्की चाँदी के 410 कटोरे, और 1000 अन्य पात्र।		
15001011	15001011	सोने और चाँदी के सब पात्र 5400 थे। शेशबस्सर इन सब को बंधुओं के साथ बाबेल से यरूशलेम जाने के समय ले आया था।		
15002001	15002001	अब प्रान्त के पुत्र ये हैं, वे जो बंधुओं की बन्धुवाई से निकल गए जिन्हें बाबेल के राजा नबूकदनेस्सर, ने बाबेल में बन्दी कर दिया था। और वे यरूशलेम और यहूदा को लौट गए, एक पुरुष अपने शहर के लिए;		
15002002	15002002	जो जरुब्बाबेल, येशुअ, नहेम्याह, सरायाह, रेलायाह, मोर्दकै, बिलशान, मिस्पार, बिगवै, रहूम और बानाह के साथ आए। यह इस्राएल के लोगों के पुरुषों की गिनती है।		
15002003	15002003	परोश के पुत्र 2, 172 थे।		
15002004	15002004	शपत्याह के पुत्र 372 थे।		
15002005	15002005	आरह के पुत्र 775 थे।		
15002006	15002006	पहत्मोआब के पुत्र, येशुअ और योआब के पुत्र 2, 812 थे।		
15002007	15002007	एलाम के पुत्र 1, 254 थे।		
15002008	15002008	जत्तू के पुत्र 945 थे।		
15002009	15002009	जक्कई के पुत्र 760 थे।		
15002010	15002010	बानी के पुत्र 642 थे।		
15002011	15002011	बेबै के पुत्र 623 थे।		
15002012	15002012	अजगाद के पुत्र 1, 222 थे।		
15002013	15002013	अदोनीकाम के पुत्र 666 थे।		
15002014	15002014	बिगवै के पुत्र 2, 056 थे।		
15002015	15002015	आदीन के पुत्र 454 थे।		
15002016	15002016	आतेर के पुत्र, हिजकिय्याह के 98 थे।		
15002017	15002017	बेसै के पुत्र 323 थे।		
15002018	15002018	योरा के पुत्र 112 थे।		
15002019	15002019	हाशूम के पुत्र 223 थे।		
15002020	15002020	गिब्बार के पुत्र 95 थे।		
15002021	15002021	बैतलहम के पुत्र 123 थे।		
15002022	15002022	नतोपा के पुत्र 56 थे।		
15002023	15002023	अनातोत के पुत्र 28 थे।		
15002024	15002024	अज्मावेत के पुत्र 42 थे।		
15002025	15002025	किर्यत्यारीम, कपीरा के पुत्र, और बेरोत के 743 थे।		
15002026	15002026	रामाह और गेबा के पुत्र 621 थे।		
15002027	15002027	मिकमाश के पुत्र 122 थे।		
15002028	15002028	बेतेल और आई के पुरुष 223 थे।		
15002029	15002029	नबो के पुत्र 52 थे।		
15002030	15002030	मग्बीस के पुत्र 156 थे।		
15002031	15002031	अन्य एलाम के पुत्र 1, 254 थे।		
15002032	15002032	हारीम के पुत्र 320 थे।		
15002033	15002033	लोद के पुत्र, हादीद और ओनो के 725 थे।		
15002034	15002034	यरीहो के पुत्र 345 थे।		
15002035	15002035	सना के पुत्र 3, 630 थे।		
15002036	15002036	याजकों: येशुअ के घराने में से सदायाह के पुत्र 973 थे।		
15002037	15002037	इम्मेर के पुत्र 1, 052 थे।		
15002038	15002038	पशहूर के पुत्र 1, 247 थे।		
15002039	15002039	हारीम के पुत्र 1, 017 थे।		
15002040	15002040	लेवीय: येशूअ और कदमीएल के पुत्र, होदव्याह के पुत्र 74 थे।		
15002041	15002041	जो गाते थे: आसाप के पुत्र 128 थे।		
15002042	15002042	द्वारपालों के पुत्र: शल्लूम के पुत्र, आतेर के पुत्र, तल्मोन के पुत्र, अक्कूब के पुत्र, हतीता के पुत्र, और शोबै के पुत्र सब मिलाकर 139 थे।		
15002043	15002043	नतीन: सीहा के पुत्र, हसूपा के पुत्र, तब्बाओत के पुत्र।		
15002044	15002044	केरोस के पुत्र, सीअहा के पुत्र, पादोन के पुत्र,		
15002045	15002045	लबाना के पुत्र, हगाबा के पुत्र, अक्कूब के पुत्र,		
15002046	15002046	हागाब के पुत्र, शल्मै के पुत्र, हानान के पुत्र,		
15002047	15002047	गिद्देल के पुत्र, गहर के पुत्र, रायाह के पुत्र,		
15002048	15002048	रसीन के पुत्र, नकोदा के पुत्र, गज्जाम के पुत्र,		
15002049	15002049	उज्जा के पुत्र, पासेह के पुत्र, बेसै के पुत्र,		
15002050	15002050	अस्ना के पुत्र, मूनीम के पुत्र, नपीसीम के पुत्र,		
15002051	15002051	बकबूक के पुत्र, हकूपा के पुत्र, हर्हूर के पुत्र।		
15002052	15002052	बसलूत के पुत्र, महीदा के पुत्र, हर्शा के पुत्र,		
15002053	15002053	बर्कोस के पुत्र, सीसरा के पुत्र, तेमह के पुत्र,		
15002054	15002054	नसीह के पुत्र, और हतीपा के पुत्र ।		
15002055	15002055	सुलैमान के सेवकों के पुत्र, सोतै के पुत्र, हस्सोपेरेत के पुत्र, परूदा के पुत्र,		
15002056	15002056	याला के पुत्र, दर्कोन के पुत्र, गिद्देल के पुत्र,		
15002057	15002057	शपत्याह के पुत्र, हत्तील के पुत्र, पोकरेत-सबायीम के पुत्र, और आमी के पुत्र।		
15002058	15002058	सब नतीन और सुलैमान के सेवकों के पुत्र, 392 थे।		
15002059	15002059	और ये वे थे जो तेल्मेलाह, तेलहर्शा, करूब, अद्दान और इम्मेर से ऊपर गए थे; परन्तु वे अपने पितरों के घराने वा अपने वंश को न बता सके; कि वे इस्राएल से थे या नहीं।		
15002060	15002060	दलायाह के पुत्र, तोबियाह के पुत्र और नकोदा के पुत्र 652 थे।		
15002061	15002061	और याजकों में से पुत्र: हबायाह के पुत्र; हक्कोस के पुत्र; और बर्जिल्लै के पुत्र, जिस ने गिलादी बर्जिल्लै के पुत्रियों में से एक पत्नी को ले लिया था, इसलिए वह उनके नाम से पुकारा गया।		
15002062	15002062	इन लोगों ने अपने लेखे को उन लोगों में से ढूँढ़ा जो वंशावली के अनुसार लिखे गए थे, पर वे नहीं मिले। और वे याजकपद से अपवित्र हो गए थे।		
15002063	15002063	और तिर्शाता ने उन से कहा कि जब तक कोई याजक ऊरीम और तुम्मीम के संग खड़ा नहीं होता, उन्हें तब तक परमपवित्र पवित्र भोजन में से कुछ न खाना चाहिए।		
